Reach Name,Basin,Assessment Unit,Priority Actions,Reach Rank,Priority Species,Priority Life Stages,Unacceptable Limiting Factors,At-Risk Limiting Factors,Action Categories,Updated
Wenatchee River Ollala 03,Wenatchee,Wenatchee River-Ollala Canyon,"Restore Reach Function, Address Limiting Factors",2,Steelhead,Winter Rearing,"Bank Stability,Cover- Wood,Flow- Summer Base Flow,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Channel Stability,Stability,Floodplain Connectivity,Pool Quantity and Quality","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2323
Methow River Alder 02,Methow,Methow River-Alder Creek,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead",Winter Rearing,"Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,PRCNT Fines and Embeddedness","Bank Stability,Stability,Floodplain Connectivity,Off-Channel- Side-Channels,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2324
Methow River Alder 03,Methow,Methow River-Alder Creek,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead",Winter Rearing,"Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,PRCNT Fines and Embeddedness","Bank Stability,Stability,Floodplain Connectivity,Off-Channel- Side-Channels,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2325
Wenatchee River Derby 05,Wenatchee,Wenatchee River-Derby Canyon,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead",Winter Rearing,"Cover- Wood,Riparian-Canopy Cover,Temperature- Rearing","Coarse Substrate,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2326
Wenatchee River Derby 06,Wenatchee,Wenatchee River-Tumwater Canyon,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead",Winter Rearing,"Cover- Wood,Riparian-Canopy Cover,Temperature- Rearing","Channel Stability,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2327
Wenatchee River Nahahum 03,Wenatchee,Wenatchee River-Nahahum Canyon,"Restore Reach Function, Address Limiting Factors",3,Steelhead,Winter Rearing,"Bank Stability,Channel Stability,Stability,Cover- Wood,Riparian-Canopy Cover,Temperature- Rearing","Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2328
Wenatchee River Nahahum 04,Wenatchee,Wenatchee River-Nahahum Canyon,"Restore Reach Function, Address Limiting Factors",3,Steelhead,Winter Rearing,"Bank Stability,Channel Stability,Stability,Cover- Wood,Riparian-Canopy Cover","Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2329
Wenatchee River Ollala 01,Wenatchee,Wenatchee River-Ollala Canyon,"Restore Reach Function, Address Limiting Factors",3,Steelhead,Winter Rearing,"Bank Stability,Channel Stability,Stability,Cover- Wood,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Flow- Summer Base Flow,Floodplain Connectivity,Pool Quantity and Quality","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2330
Alder Creek 01,Wenatchee,Lower Chiwawa River,Address Limiting Factors,Not Ranked,Steelhead,Winter Rearing,"Cover- Wood,Off-Channel- Side-Channels",Floodplain Connectivity,"Channel Complexity Restoration, Channel Modification, Riparian Restoration and Management",27.Jan.2331
Beaver Creek 01,Wenatchee,Wenatchee River-Beaver Creek,Address Limiting Factors,Not Ranked,Steelhead,Winter Rearing,"Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels",No At-Risk Limiting Factors,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2332
Clear Creek 01,Wenatchee,Lower Chiwawa River,Address Limiting Factors,Not Ranked,Steelhead,Winter Rearing,"PRCNT Fines and Embeddedness,Floodplain Connectivity,Off-Channel- Side-Channels",Coarse Substrate,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Upland Management",27.Jan.2333
Clear Creek 02,Wenatchee,Lower Chiwawa River,Address Limiting Factors,Not Ranked,Steelhead,Winter Rearing,"PRCNT Fines and Embeddedness,Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels",Coarse Substrate,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management, Upland Management",27.Jan.2334
Goose Creek 01,Wenatchee,Lower Chiwawa River,Address Limiting Factors,Not Ranked,Steelhead,Winter Rearing,Cover- Wood,"PRCNT Fines and Embeddedness,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management, Upland Management",27.Jan.2335
Chiwawa River Lower 01,Wenatchee,Lower Chiwawa River,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Fry,Summer Rearing","Cover- Wood,Flow- Summer Base Flow,Off-Channel- Side-Channels,Temperature- Rearing","Bank Stability,Channel Stability,Stability,Floodplain Connectivity,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2336
Chiwawa River Lower 02,Wenatchee,Lower Chiwawa River,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Fry,Summer Rearing","Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Temperature- Rearing","Bank Stability,Channel Stability,Stability,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2337
Chiwawa River Lower 06,Wenatchee,Lower Chiwawa River,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Fry,Summer Rearing","Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels","Pool Quantity and Quality,Riparian-Canopy Cover","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2338
Entiat River Potato 07,Entiat,Entiat River-Potato Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Fry,Summer Rearing",No Unacceptable Limiting Factors,"Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2339
Entiat River Potato 08,Entiat,Entiat River-Potato Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Fry,Summer Rearing",No Unacceptable Limiting Factors,"Bank Stability,Channel Stability,Stability,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2340
Entiat River Preston 03,Entiat,Entiat River-Preston Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Fry,Summer Rearing","Cover- Wood,Riparian-Disturbance","Bank Stability,Flow- Summer Base Flow,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2341
Entiat River Preston 04,Entiat,Entiat River-Preston Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Fry,Summer Rearing","Cover- Wood,Pool Quantity and Quality","Flow- Summer Base Flow,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2342
Entiat River Preston 05,Entiat,Entiat River-Lake Creek,Address Limiting Factors,1,"Spring Chinook, Steelhead","Winter Rearing,Fry,Summer Rearing",Cover- Wood,"Off-Channel- Side-Channels,Flow- Summer Base Flow","Channel Complexity Restoration, Channel Modification, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management",27.Jan.2343
Chiwawa River Lower 04,Wenatchee,Lower Chiwawa River,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Fry,Summer Rearing","Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Canopy Cover,Temperature- Rearing",Riparian,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2344
Chiwawa River Lower 05,Wenatchee,Lower Chiwawa River,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Fry,Summer Rearing","Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Canopy Cover,Temperature- Rearing",Riparian,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2345
Entiat River Potato 06,Entiat,Entiat River-Potato Creek,Address Limiting Factors,2,"Spring Chinook, Steelhead","Winter Rearing,Fry,Summer Rearing",No Unacceptable Limiting Factors,"Floodplain Connectivity,Off-Channel- Side-Channels,Flow- Summer Base Flow,Temperature- Rearing","Channel Modification, Instream Flow Enhancement, Upland Management, Water Quality Improvement",27.Jan.2346
Entiat River Preston 01,Entiat,Entiat River-Preston Creek,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Fry,Summer Rearing",No Unacceptable Limiting Factors,"Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2347
Chiwawa River Lower 03,Wenatchee,Lower Chiwawa River,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Fry,Summer Rearing","Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels","Riparian-Canopy Cover,Temperature- Rearing","Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2348
Chiwawa River Lower 07,Wenatchee,Lower Chiwawa River,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Fry,Summer Rearing","Cover- Wood,Floodplain Connectivity,Temperature- Rearing","Off-Channel- Side-Channels,Pool Quantity and Quality","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management, Water Quality Improvement",27.Jan.2349
Entiat River Potato 05,Entiat,Entiat River-Potato Creek,Address Limiting Factors,3,"Spring Chinook, Steelhead","Winter Rearing,Fry,Summer Rearing",No Unacceptable Limiting Factors,"Cover- Wood,Temperature- Rearing","Channel Complexity Restoration, Channel Modification, Riparian Restoration and Management, Water Quality Improvement",27.Jan.2350
Entiat River Preston 02,Entiat,Entiat River-Preston Creek,"Restore Reach Function, Address Limiting Factors",3,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Fry,Summer Rearing",No Unacceptable Limiting Factors,"Bank Stability,Channel Stability,Stability,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2351
Brennegan Creek 01,Entiat,Entiat River-Preston Creek,Address Limiting Factors,Not Ranked,"Spring Chinook, Steelhead","Winter Rearing,Fry,Summer Rearing","PRCNT Fines and Embeddedness,Off-Channel- Side-Channels",Cover- Wood,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management, Upland Management",27.Jan.2352
Entiat River Potato 01,Entiat,Entiat River-Potato Creek,Address Limiting Factors,Not Ranked,"Spring Chinook, Steelhead","Winter Rearing,Fry,Summer Rearing","Cover- Wood,Off-Channel- Side-Channels","Floodplain Connectivity,Flow- Summer Base Flow","Channel Complexity Restoration, Channel Modification, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management",27.Jan.2353
Entiat River Potato 02,Entiat,Entiat River-Potato Creek,Address Limiting Factors,Not Ranked,"Spring Chinook, Steelhead","Winter Rearing,Fry,Summer Rearing","Cover- Wood,Off-Channel- Side-Channels","PRCNT Fines and Embeddedness,Coarse Substrate,Floodplain Connectivity,Flow- Summer Base Flow","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management",27.Jan.2354
Entiat River Potato 03,Entiat,Entiat River-Potato Creek,Address Limiting Factors,Not Ranked,"Spring Chinook, Steelhead","Winter Rearing,Fry,Summer Rearing",No Unacceptable Limiting Factors,"Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Flow- Summer Base Flow","Channel Complexity Restoration, Channel Modification, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management",27.Jan.2355
Entiat River Potato 04,Entiat,Entiat River-Potato Creek,Address Limiting Factors,Not Ranked,"Spring Chinook, Steelhead","Winter Rearing,Fry,Summer Rearing",Off-Channel- Side-Channels,"PRCNT Fines and Embeddedness,Coarse Substrate,Cover- Wood,Floodplain Connectivity,Flow- Summer Base Flow","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management",27.Jan.2356
Stormy Creek 01,Entiat,Entiat River-Potato Creek,Address Limiting Factors,Not Ranked,"Spring Chinook, Steelhead","Winter Rearing,Fry,Summer Rearing","PRCNT Fines and Embeddedness,Off-Channel- Side-Channels,Pool Quantity and Quality","Floodplain Connectivity,Flow- Summer Base Flow","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Upland Management",27.Jan.2357
Chewuch River Pearrygin 05,Methow,Chewuch River-Pearrygin Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Winter Rearing,Summer Rearing","Cover- Wood,Temperature- Rearing","Bank Stability,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Canopy Cover","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2358
Chewuch River Pearrygin 06,Methow,Chewuch River-Pearrygin Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Winter Rearing,Summer Rearing","Cover- Wood,Temperature- Rearing","Bank Stability,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Canopy Cover","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2359
Chewuch River Pearrygin 07,Methow,Chewuch River-Pearrygin Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Winter Rearing,Summer Rearing","Cover- Wood,Floodplain Connectivity,Riparian-Canopy Cover,Temperature- Rearing","Bank Stability,Flow- Summer Base Flow,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2360
Chewuch River Pearrygin 10,Methow,Chewuch River-Pearrygin Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Winter Rearing,Summer Rearing","Cover- Wood,Floodplain Connectivity,Riparian-Canopy Cover,Temperature- Rearing","Bank Stability,Flow- Summer Base Flow,Off-Channel- Side-Channels,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2361
Chewuch River Pearrygin 11,Methow,Chewuch River-Pearrygin Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Winter Rearing,Summer Rearing","Cover- Wood,Floodplain Connectivity,Riparian-Canopy Cover,Temperature- Rearing","Bank Stability,Flow- Summer Base Flow,Off-Channel- Side-Channels,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2362
Entiat River Mills 02,Entiat,Entiat River-Mills Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Winter Rearing,Summer Rearing","Flow- Summer Base Flow,Riparian-Canopy Cover,Temperature- Rearing","Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2363
Entiat River Mills 04,Entiat,Entiat River-Mills Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Winter Rearing,Summer Rearing","Cover- Wood,Flow- Summer Base Flow,Riparian-Canopy Cover","Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2364
Methow River Thompson 01,Methow,Methow River-Thompson Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Winter Rearing,Summer Rearing","Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2365
Methow River Thompson 04,Methow,Methow River-Thompson Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Winter Rearing,Summer Rearing","Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2366
Methow River Thompson 06,Methow,Methow River-Thompson Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Winter Rearing,Summer Rearing","Flow- Summer Base Flow,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Stability,Channel Stability,Stability,Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Pool Quantity and Quality,Temperature- Rearing","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2367
Twisp River Lower 01,Methow,Lower Twisp River,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Winter Rearing,Summer Rearing","Bank Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Channel Stability,Stability,Pool Quantity and Quality","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2368
Twisp River Lower 03,Methow,Lower Twisp River,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Winter Rearing,Summer Rearing","Bank Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Pool Quantity and Quality,Riparian-Canopy Cover,Temperature- Rearing","Channel Stability,Stability,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2369
Twisp River Lower 04,Methow,Lower Twisp River,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Winter Rearing,Summer Rearing","Bank Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Pool Quantity and Quality,Riparian-Canopy Cover,Temperature- Rearing","Channel Stability,Stability,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2370
Twisp River Lower 05,Methow,Lower Twisp River,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead","Winter Rearing,Summer Rearing","Bank Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Pool Quantity and Quality,Riparian-Canopy Cover,Temperature- Rearing","Channel Stability,Stability,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2371
Twisp River Middle 01,Methow,Middle Twisp River,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Summer Rearing","Temperature- Rearing,PRCNT Fines and Embeddedness","Bank Stability,Channel Stability,Stability,Floodplain Connectivity,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2372
Twisp River Middle 04,Methow,Middle Twisp River,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Summer Rearing","Cover- Wood,Temperature- Rearing","Channel Stability,Coarse Substrate,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2373
Twisp River Middle 05,Methow,Middle Twisp River,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Steelhead, Bull Trout","Winter Rearing,Summer Rearing","Cover- Wood,Temperature- Rearing","Channel Stability,Coarse Substrate,Off-Channel- Side-Channels,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2374
